OBJECTID,REP_DATE,DOW,YEAR,NARCAN_ADM
3073,2022/06/30 04:00:00+00,Saturday,2022,Yes
3074,2019/08/18 04:00:00+00,Sunday,2019,N/A
3075,2019/08/24 04:00:00+00,Saturday,2019,N/A
3076,2020/04/05 04:00:00+00,Sunday,2020,N/A
3077,2022/12/28 05:00:00+00,Wednesday,2022,N/A
3078,2019/12/09 05:00:00+00,Monday,2019,N/A
3079,2021/12/07 05:00:00+00,Tuesday,2021,N/A
3080,2022/08/06 04:00:00+00,Wednesday,2022,N/A
3081,2018/02/25 05:00:00+00,Sunday,2018,N/A
3082,2020/02/13 05:00:00+00,Thursday,2020,N/A
3083,2021/12/21 05:00:00+00,Tuesday,2021,Yes
3084,2019/05/17 04:00:00+00,Friday,2019,N/A
3085,2021/11/02 04:00:00+00,Tuesday,2021,Yes
3086,2021/04/09 04:00:00+00,Friday,2021,Unknown
3087,2020/03/26 04:00:00+00,Thursday,2020,N/A
3088,2022/09/11 04:00:00+00,Tuesday,2022,Yes
3089,2018/09/06 04:00:00+00,Thursday,2018,N/A
3090,2022/06/15 04:00:00+00,Sunday,2022,N/A
3091,2021/04/06 04:00:00+00,Tuesday,2021,Unknown
3092,2022/08/25 04:00:00+00,Wednesday,2022,N/A
3093,2022/04/22 04:00:00+00,Saturday,2022,N/A
3094,2022/07/12 04:00:00+00,Thursday,2022,N/A
3095,2022/03/24 04:00:00+00,Saturday,2022,Yes
3096,2021/10/23 04:00:00+00,Saturday,2021,N/A
3097,2020/08/28 04:00:00+00,Friday,2020,N/A
3098,2021/01/19 05:00:00+00,Tuesday,2021,Yes
3099,2021/01/19 05:00:00+00,Tuesday,2021,Yes
3100,2020/09/01 04:00:00+00,Tuesday,2020,N/A
3101,2017/07/07 04:00:00+00,Friday,2017,N/A
3102,2021/06/25 04:00:00+00,Friday,2021,Yes
3103,2021/04/28 04:00:00+00,Wednesday,2021,Yes
3104,2021/01/16 05:00:00+00,Saturday,2021,Yes
3105,2021/06/17 04:00:00+00,Thursday,2021,Yes
3106,2021/08/19 04:00:00+00,Thursday,2021,Yes
3107,2020/08/08 04:00:00+00,Saturday,2020,N/A
3108,2021/06/10 04:00:00+00,Thursday,2021,No
3109,2022/05/13 04:00:00+00,Thursday,2022,Yes
3110,2022/06/30 04:00:00+00,Tuesday,2022,N/A
3111,2022/07/04 04:00:00+00,Thursday,2022,Yes
3112,2021/07/29 04:00:00+00,Thursday,2021,Yes
3113,2022/10/24 04:00:00+00,Sunday,2022,N/A
3114,2022/12/10 05:00:00+00,Tuesday,2022,N/A
3115,2017/12/02 05:00:00+00,Saturday,2017,N/A
3116,2019/06/10 04:00:00+00,Monday,2019,N/A
3117,2021/05/10 04:00:00+00,Monday,2021,No
3118,2021/05/20 04:00:00+00,Thursday,2021,Unknown
3119,2021/06/19 04:00:00+00,Saturday,2021,Yes
3120,2021/08/23 04:00:00+00,Monday,2021,N/A
3121,2018/03/23 04:00:00+00,Friday,2018,N/A
3122,2021/03/09 05:00:00+00,Tuesday,2021,No
3123,2020/12/14 05:00:00+00,Monday,2020,Yes
3124,2019/09/18 04:00:00+00,Wednesday,2019,N/A
3125,2021/05/16 04:00:00+00,Sunday,2021,Yes
3126,2022/03/23 04:00:00+00,Thursday,2022,Yes
3127,2022/07/13 04:00:00+00,Friday,2022,Yes
3128,2021/01/13 05:00:00+00,Wednesday,2021,Yes
3129,2021/05/02 04:00:00+00,Sunday,2021,No
3130,2017/07/20 04:00:00+00,Thursday,2017,N/A
3131,2017/09/30 04:00:00+00,Saturday,2017,N/A
3132,2018/02/14 05:00:00+00,Wednesday,2018,N/A
3133,2019/04/07 04:00:00+00,Sunday,2019,N/A
3134,2019/06/26 04:00:00+00,Wednesday,2019,N/A
3135,2019/09/12 04:00:00+00,Thursday,2019,N/A
3136,2020/03/06 05:00:00+00,Friday,2020,N/A
3137,2020/09/28 04:00:00+00,Monday,2020,No
3138,2021/08/11 04:00:00+00,Wednesday,2021,N/A
3139,2021/12/07 05:00:00+00,Tuesday,2021,N/A
3140,2022/02/02 05:00:00+00,Wednesday,2022,Yes
3141,2022/05/01 04:00:00+00,Wednesday,2022,Yes
3142,2021/06/10 04:00:00+00,Thursday,2021,No
3143,2022/03/14 04:00:00+00,Saturday,2022,N/A
3144,2018/12/24 05:00:00+00,Monday,2018,N/A
3145,2019/04/12 04:00:00+00,Friday,2019,N/A
3146,2019/10/06 04:00:00+00,Sunday,2019,N/A
3147,2020/09/15 04:00:00+00,Tuesday,2020,Yes
3148,2021/08/06 04:00:00+00,Friday,2021,Yes
3149,2022/02/09 05:00:00+00,Thursday,2022,Yes
3150,2019/07/18 04:00:00+00,Thursday,2019,N/A
3151,2020/09/02 04:00:00+00,Wednesday,2020,N/A
3152,2020/10/02 04:00:00+00,Friday,2020,Yes
3153,2022/01/05 05:00:00+00,Tuesday,2022,Yes
3154,2022/02/24 05:00:00+00,Wednesday,2022,Yes
3155,2022/03/20 04:00:00+00,Monday,2022,N/A
3156,2022/05/13 04:00:00+00,Monday,2022,Yes
3157,2022/06/30 04:00:00+00,Tuesday,2022,N/A
3158,2022/07/15 04:00:00+00,Saturday,2022,Yes
3159,2021/07/15 04:00:00+00,Thursday,2021,N/A
3160,2019/05/19 04:00:00+00,Sunday,2019,N/A
3161,2019/07/02 04:00:00+00,Tuesday,2019,N/A
3162,2020/02/26 05:00:00+00,Wednesday,2020,N/A
3163,2020/02/16 05:00:00+00,Sunday,2020,N/A
3164,2019/10/11 04:00:00+00,Friday,2019,N/A
3165,2018/03/14 04:00:00+00,Wednesday,2018,N/A
3166,2022/02/15 05:00:00+00,Monday,2022,N/A
3167,2019/03/24 04:00:00+00,Sunday,2019,N/A
3168,2020/09/01 04:00:00+00,Tuesday,2020,N/A
